"source","target"
"Yes, Let’s scan!","כן, בואו נסרוק!"
"Hi there…","הי שם..."
"I’m here to help you **scan** your future screenshot and add it to the map.","האם הכנת צילום מסך עתידי כדי **לסרוק** ולהעלות למפה?"
"Share","שיתוף"
"Add Another","אוסיף עוד אחד"
"in your own words...","במילים שלך..."
"Our Future?","העתיד שלנו?"
"Check out this image!","זה מה שאני דמיינתי"
"Uploading image...","מעלה קובץ תמונה..."
"Analyzing template...","מנתח את התבנית..."
"Deciphering handwriting...","מפענח את כתב היד..."
"Anticipating transition...","מזהה שינוי..."
"fit the page to the frame","התאימו את הדף למסגרת"
"change your angle","אולי זווית שונה"
"move closer to page","תתקרבו קצת אל הדף"
"hold still...","אוקיי, לא לזוז..."
"How do I make one?","איך יוצרים כזה?"
"try on a darker background","נסו לצלם מעל רקע כהה יותר"
"Find our booth in the lobby in front of the entrance. There you'll find templates and guidance.","חפשו אותנו בלובי מול הכניסה - שם תמצאו תבניות למילוי והדרכה!"
"your email","האימייל שלך"
"No thanks","לא תודה"
"Send link","שלח קישור"
"Prefer","מעדיף"
"-ish","בערך"
"Prevent","למנוע"
"undo","ביטול"
"continue","המשך"
"Projected","מוקרנת"
"will happen for sure","יקרה בוודאות"
"Probable","סביר"
"almost certain","כמעט בטוח"
"Plausible","אפשרי"
"not obvious, not surprising","לא ברור, לא מפתיע"
"Possible","אפשרי"
"highly unlikely, not impossible","לא סביר מאוד, אבל לא בלתי אפשרי"
"Preposterous","אבסורדי"
"can never happen","לא יכול לקרות לעולם"
"Now, is that a future you would **prefer** would happen or is it a future you’ld rather **prevent**?","האם זה עתיד שתרצה **להעדיף** שיקרה או עתיד שתרצה **למנוע**?"
"And can you evaluate how likely is this future?","האם תוכל להעריך עד כמה עתיד זה סביר?"
"Got it. Thanks!

We’re currently analyzing your screenshot and adding it to the Futures Map. This usually takes a few minutes. When it’s ready we will **email** you a **secret link** so you can always find, edit or delete your screenshots from the map.","הבנתי. תודה!

אנחנו מנתחים את צילום המסך שלך ומוסיפים אותו למפת העתידים. זה בדרך כלל לוקח כמה דקות. כשהוא יהיה מוכן, נשלח לך **אימייל** עם **קישור סודי** כדי שתוכל תמיד למצוא, לערוך או למחוק את צילומי המסך שלך מהמפה."
"Perfect! We’re all set.

Expect an email soon from **MapFutur.es!**","מושלם! אנחנו מוכנים.

צפה לאימייל בקרוב מ-**MapFutur.es!**"
"Well, you will lose the option to edit and track your screenshot, but we will try to handle it with care. **Thanks**!","ובכן, תאבד את האפשרות לערוך ולעקוב אחר צילום המסך שלך, אבל ננסה לטפל בזה בזהירות. **תודה**!"
"That’s great!

We added “:TAGLINE:” to the map!

**Want to see it?**","זה נהדר!

הוספנו את “:TAGLINE:” למפה!

**רוצה לראות את זה?**"
"We added “:TAGLINE:” to the map!

**Want to see it?**","הוספנו את “:TAGLINE:” למפה!

**רוצה לראות את זה?**"
"Explore Map","חקור את המפה"
"scan again","סרוק שוב"
"Looking Good","נראה טוב"
"Show me","הראו לי"
"Great!

But first, please approve the collection, processing, and storage of your screenshot as described in the [Privacy Policy](/privacy-policy).

I’m also about to ask you for **access to the camera**, and then we can get going….","מעולה!

אבל קודם, אנא אשרו את איסוף, עיבוד ואחסון צילום המסך שלכם כפי שמתואר במדיניות הפרטיות [Privacy Policy](/privacy-policy).

אנחנו גם עומדים לבקש מכם **גישה למצלמה**, ואז נוכל להתחיל..."
"the workshop","סדנה"
"NOW","עכשיו"
"PROJECTED","צפוי"
"I’d still rather","אני עדיין מעדיף"
"prevent","למנוע"
"some parts of this","חלקים מסוימים מזה"
"I do still","אני עדיין"
"prefer","מעדיף"
"I welcome additional boosts of hopeful activism and political imagination into my inbox","אני מקבל בברכה תוספות של אקטיביזם מלא תקווה ודמיון פוליטי לתיבת הדואר שלי"
"MENU","תפריט"
"Explore the Map","חקור את המפה"
"About + Contact","אודות + יצירת קשר"
" Add to Map ","הוסף למפה"
"Yes, I agree","כן, אני מסכים"
"Got it. Thanks!

We will send another **secret link** to :EMAIL: as soon as this screenshot is added to the Futures Map.",""
"Download Image",""
"Share to Group",""
"Join whatsapp Group",""
"Thanks for participating in **:EVENT_NAME:**!",""
"**First, join the chat group** we set up for :EVENT_NAME:.",""
