"source","target"
"Yes, Let’s scan!","Ja, laten we scannen!"
"Hi there…","Hallo daar..."
"I’m here to help you **scan** your future screenshot and add it to the map.","Ik ben hier om je te helpen je toekomstige screenshot te **scannen** en aan de kaart toe te voegen."
"Share","Delen"
"Add Another","Voeg nog een toe"
"in your own words...","In je eigen woorden..."
"Our Future?","Onze toekomst?"
"Check out this image!","Bekijk deze afbeelding!"
"Uploading image...","Afbeelding uploaden..."
"Analyzing template...","Sjabloon analyseren..."
"Deciphering handwriting...","Handschrift ontcijferen..."
"Anticipating transition...","Overgang voorspellen..."
"fit the page to the frame","Pas de pagina aan het frame aan"
"change your angle","Verander je hoek"
"move closer to page","Kom dichter bij de pagina"
"hold still...","Blijf stil..."
"How do I make one?","Hoe maak ik er een?"
"try on a darker background","Probeer op een donkerdere achtergrond"
"Find our booth in the lobby in front of the entrance. There you'll find templates and guidance.","Vind onze stand in de lobby tegenover de ingang. Daar vind je sjablonen en begeleiding."
"your email","je e-mail"
"No thanks","Nee bedankt"
"Send link","Stuur link"
"Prefer","Bij voorkeur"
"-ish","-achtig"
"Prevent","Voorkomen"
"undo","ongedaan maken"
"continue","doorgaan"
"Projected","Geprojecteerd"
"will happen for sure","zal zeker gebeuren"
"Probable","Waarschijnlijk"
"almost certain","bijna zeker"
"Plausible","Geloofwaardig"
"not obvious, not surprising","niet voor de hand liggend, niet verrassend"
"Possible","Mogelijk"
"highly unlikely, not impossible","zeer onwaarschijnlijk, niet onmogelijk"
"Preposterous","Absurd"
"can never happen","kan nooit gebeuren"
"Now, is that a future you would **prefer** would happen or is it a future you’ld rather **prevent**?","Dus, is dat een toekomst waarvan je zou **verkiezen** dat die gebeurt, of is het een toekomst die je liever zou **voorkomen**?"
"And can you evaluate how likely is this future?","En kun je beoordelen hoe waarschijnlijk deze toekomst is?"
"Got it. Thanks!

We’re currently analyzing your screenshot and adding it to the Futures Map. This usually takes a few minutes. When it’s ready we will **email** you a **secret link** so you can always find, edit or delete your screenshots from the map.","Begrepen. Bedankt!

We zijn momenteel je screenshot aan het analyseren en deze aan de Toekomst Kaart toe te voegen. Dit duurt meestal een paar minuten. Wanneer het klaar is, zullen we je een **e-mail** sturen met een **geheime link** zodat je altijd je screenshots op de kaart kunt vinden, bewerken of verwijderen."
"Perfect! We’re all set.

Expect an email soon from **MapFutur.es!**","Perfect! We zijn er klaar voor.

Verwacht binnenkort een e-mail van **MapFutur.es!**"
"Well, you will lose the option to edit and track your screenshot, but we will try to handle it with care. **Thanks**!","Nou, je verliest de optie om je screenshot te bewerken en te volgen, maar we zullen proberen het met zorg te behandelen. **Bedankt**!"
"That’s great!

We added “:TAGLINE:” to the map!

**Want to see it?**","Dat is geweldig!

We hebben “:TAGLINE:” aan de kaart toegevoegd!

**Wil je het zien?**"
"We added “:TAGLINE:” to the map!

**Want to see it?**","We hebben “:TAGLINE:” aan de kaart toegevoegd!

**Wil je het zien?**"
"Explore Map","Verken kaart"
"scan again","Opnieuw scannen"
"Looking Good","Ziet er goed uit"
"Show me","Laat het me zien"
"Great!

But first, please approve the collection, processing, and storage of your screenshot as described in the [Privacy Policy](https://github.com/whiletrue-industries/future-screenshots/blob/main/projects/app/src/privacy-policy.md).

I’m also about to ask you for **access to the camera**, and then we can get going….","Geweldig!

Maar eerst, keur alstublieft de verzameling, verwerking en opslag van uw screenshot goed zoals beschreven in het [Privacybeleid](https://github.com/whiletrue-industries/future-screenshots/blob/main/projects/app/src/privacy-policy.md).

Ik ga je ook vragen om **toegang tot de camera**, en dan kunnen we beginnen..."
"the workshop","de workshop"
"NOW","NU"
"PROJECTED","GEPROJECTEERD"
"I’d still rather","Ik geef nog steeds de voorkeur aan"
"prevent","voorkomen"
"some parts of this","sommige delen hiervan"
"I do still","Ik doe nog steeds"
"prefer","verkiezen"
"I welcome additional boosts of hopeful activism and political imagination into my inbox","Ik verwelkom extra impulsen van hoopvol activisme en politieke verbeelding in mijn inbox"
"MENU","MENU"
"Explore the Map","Verken de kaart"
"About + Contact","Over + Contact"
" Add to Map ","Toevoegen aan kaart"
"Yes, I agree","Ja, ik ga akkoord"
"Got it. Thanks!

We will send another **secret link** to :EMAIL: as soon as this screenshot is added to the Futures Map.","Begrepen. Bedankt!

We zullen een andere **geheime link** naar :EMAIL: sturen zodra deze screenshot aan de Toekomst Kaart is toegevoegd."
"Download Image","Afbeelding downloaden"
"Thanks for participating in **:EVENT_NAME:**!","Bedankt voor je deelname aan **:EVENT_NAME:**!"
"**First, join the chat group** we set up for :EVENT_NAME:.","**Eerst, sluit je aan bij de chatgroep** die we hebben opgezet voor :EVENT_NAME:."
"Share to Group","Delen met groep"
"Join whatsapp Group","Word lid van de WhatsApp-groep"
